taxon_id,taxon_name,class
NEONDREX33183,Eunotia minor (Kützing) Grunow,Bacillariophyceae
NEONDREX52148,Pinnularia acrosphaeria (Brébisson) Smith,Bacillariophyceae
NEONDREX210007,Geissleria kriegeri (Krasske) Lange-Bertalot,Bacillariophyceae
NEONDREX200006,Tabularia gaillonii (Bory) Bukhtiyarova,Bacillariophyceae
NEONDREX458011,Oocystis elliptica W. West,Chlorophyceae
NEONDREX48026,Nitzschia palea var. tenuirostris Grunow,Bacillariophyceae
NEONDREX73002,Pseudostaurosira pseudoconstruens (Marciniak) Williams et Round,Bacillariophyceae
NEONDREX1036,Achnanthidium rivulare Potapova et Ponader,Bacillariophyceae
NEONDREX186005,Psammothidium marginulatum (Grunow) Bukhtiyarova et Round,Bacillariophyceae
NEONDREX213001,"Hippodonta capitata (Ehrenberg) Lange-Bertalot, Metzeltin et Witkowski",Bacillariophyceae
NEONDREX37311,Gomphonema parvulius (Lange-Bertalot et Reichardt) Lange-Bertalot et Reichardt,Bacillariophyceae
NEONDREX45004,Meridion sp.,Bacillariophyceae
NEONDREX48156,Nitzschia liebethruthii Rabenhorst,Bacillariophyceae
NEONDREX62007,Stauroneis smithii Grunow,Bacillariophyceae
NEONDREX155008,Planothidium daui (Foged) Lange-Bertalot,Bacillariophyceae
NEONDREX360002,Draparnaldia sp.,Chlorophyceae
NEONDREX46373,Navicula menisculus Schumann,Bacillariophyceae
NEONDREX46389,Navicula salinarum Grunow,Bacillariophyceae
NEONDREX47066,Neidium ampliatum (Ehrenberg) Krammer,Bacillariophyceae
NEONDREX7010,Amphora inariensis Krammer,Bacillariophyceae
NEONDREX130002,Luticola mutica (Kützing) Mann,Bacillariophyceae
NEONDREX25011,Denticula sp.,Bacillariophyceae
NEONDREX48093,Nitzschia angustata (Smith) Grunow,Bacillariophyceae
NEONDREX48377,Nitzschia lacuum Lange-Bertalot,Bacillariophyceae
NEONDREX1265002,Cryptomonas sp.,Cryptophyceae
NEONDREX1265003,Cryptomonas ovata Ehrenberg,Cryptophyceae
NEONDREX1292001,Rhodomonas minuta Skuja,Cryptophyceae
NEONDREX20009,Cyclotella ocellata Pantocsek,Bacillariophyceae
NEONDREX21015,Craticula molestiformis (Hustedt) Mayama,Bacillariophyceae
NEONDREX37300,Gomphonema americobtusatum Reichardt et Lange-Bertalot,Bacillariophyceae
NEONDREX46905,Navicula aquaedurae Lange-Bertalot,Bacillariophyceae
NEONDREX899003,Rhabdoderma lineare Schmidle et Lauterborn,Myxophyceae
NEONDREX37126,Gomphonema clavatum Ehrenberg,Bacillariophyceae
NEONDREX46573,Navicula concentrica Carter et Bailey-Watts,Bacillariophyceae
NEONDREX48198,Nitzschia communis Rabenhorst,Bacillariophyceae
NEONDREX990007,Phacus caudatus Hübner,Euglenophyceae
NEONDREX995039,Trachelomonas pulchella Deflandre,Euglenophyceae
NEONDREX995004,Trachelomonas abrupta Swirenko emend. Deflandre,Euglenophyceae
NEONDREX25008,Denticula kuetzingii Grunow,Bacillariophyceae
NEONDREX12024,Caloneis macedonica Hustedt,Bacillariophyceae
NEONDREX21004,Craticula cuspidata (Kützing) Mann,Bacillariophyceae
NEONDREX33039,Eunotia pectinalis (Kützing) Rabenhorst,Bacillariophyceae
NEONDREX888010,Oscillatoria sp.,Myxophyceae
NEONDREX995000,Trachelomonas sp.,Euglenophyceae
NEONDREX2506002,Discostella pseudostelligera (Hustedt) Houk et Klee,Bacillariophyceae
NEONDREX30019,Diploneis puella (Schumann) Cleve,Bacillariophyceae
NEONDREX46832,Navicula oblonga Østrup,Bacillariophyceae
NEONDREX48040,Nitzschia alpina Hustedt,Bacillariophyceae
NEONDREX9098003,Halamphora coffeaeformis (Agardh) Levkov,Bacillariophyceae
NEONDREX990003,Phacus longicauda (Ehrenberg) Dujardin,Euglenophyceae
NEONDREX995034,Trachelomonas abrupta var. minor Deflandre,Euglenophyceae
ODOMES2,Odontidium mesodon (Ehrenberg) Kützing,Bacillariophyceae
NEONDREX12010,Caloneis silicula (Ehrenberg) Cleve,Bacillariophyceae
NEONDREX170001,Sellaphora laevissima (Kützing) Mann,Bacillariophyceae
NEONDREX245012,Ulnaria ulna var. spathulifera (Grunow) Aboal,Bacillariophyceae
NEONDREX27013,Diatoma vulgaris Bory,Bacillariophyceae
NEONDREX48017,Nitzschia hantzschiana Rabenhorst,Bacillariophyceae
NEONDREX23073,Cymbella affinis Kützing,Bacillariophyceae
NEONDREX328002,Crucigenia tetrapedia (Kirchner) W. West et G.S. West,Chlorophyceae
NEONDREX33036,Eunotia naegelii Migula,Bacillariophyceae
NEONDREX46661,Navicula capitatoradiata Germain,Bacillariophyceae
NEONDREX65068,Surirella brebissonii Krammer et Lange-Bertalot,Bacillariophyceae
NEONDREX65064,Surirella brebissonii var. kuetzingii Krammer et Lange-Bertalot,Bacillariophyceae
NEONDREX186008,Psammothidium subatomoides (Hustedt) Bukhtiyarova et Round,Bacillariophyceae
NEONDREX316000,Closterium moniliferum (Bory) Ehrenberg,Chlorophyceae
NEONDREX446000,Monoraphidium contortum (Thuret) Komárková-Legnerová,Chlorophyceae
NEONDREX48228,Nitzschia palea var. debilis (Kützing) Grunow,Bacillariophyceae
NEONDREX110063,Encyonema sp.,Bacillariophyceae
NEONDREX316026,Closterium parvulum Nägeli,Chlorophyceae
CYMBELLASP,Cymbella sp.,Bacillariophyceae
NEONDREX34024,Fragilaria nitzschioides Grunow,Bacillariophyceae
NEONDREX48153,Nitzschia intermedia Hantzsch ex Cleve et Grunow,Bacillariophyceae
NEONDREX48387,Nitzschia leistikowii Lange-Bertalot,Bacillariophyceae
NEONDREX52068,Pinnularia sudetica (Hilse) Peragallo,Bacillariophyceae
NEONDREX23077,Cymbella leptoceros (Ehrenberg) Kützing,Bacillariophyceae
NEONDREX37118,Gomphonema minusculum Krasske,Bacillariophyceae
NEONDREX52025,Pinnularia divergens Smith,Bacillariophyceae
NEONDREX58007,Rhopalodia brebissonii Krammer,Bacillariophyceae
NEONDREX186011,Psammothidium chlidanos (Hohn et Hellerman) Lange-Bertalot,Bacillariophyceae
NEONDREX48312,Nitzschia supralitorea Lange-Bertalot,Bacillariophyceae
NEONDREX8021,Anomoeoneis sphaerophora Pfitzer,Bacillariophyceae
NEONDREX37317,Gomphonema innocens Reichardt,Bacillariophyceae
NEONDREX200002,Tabularia fasciculata (Agardh) Williams et Round,Bacillariophyceae
NEONDREX2509006,Pseudostaurosiropsis sp.,Bacillariophyceae
NEONDREX48124,Nitzschia subacicularis Hustedt,Bacillariophyceae
NEONDREX533000,Spirogyra sp.,Chlorophyceae
NEONDREX16005,Cocconeis placentula var. euglypta (Ehrenberg) Grunow,Bacillariophyceae
NEONDREX103107,Pinnularia sp.,Bacillariophyceae
NEONDREX1110003,Dinobryon sertularia Ehrenberg,Chrysophyceae
NEONDREX211002,Mayamaea asellus (Weinhold) Lange-Bertalot,Bacillariophyceae
NEONDREX401000,Gongrosira sp.,Chlorophyceae
NEONDREX46753,Navicula incertata Lange-Bertalot,Bacillariophyceae
NEONDREX852004,Homoeothrix janthina (Bornet et Flahault) Starmach,Myxophyceae
NEONDREX185024,Tryblionella hungarica (Grunow) Frenguelli,Bacillariophyceae
NEONDREX22001,Cymatopleura solea (Brébisson) W. Smith,Bacillariophyceae
NEONDREX48378,Nitzschia solita Hustedt,Bacillariophyceae
NEONDREX33015,Eunotia exigua (Brébisson) Rabenhorst,Bacillariophyceae
NEONDREX213003,"Hippodonta lueneburgensis (Grunow) Lange-Bertalot, Metzeltin et Witkowski",Bacillariophyceae
NEONDREX37304,Gomphonema parvulum f. saprophilum Lange-Bertalot et Reichardt,Bacillariophyceae
NEONDREX46003,Navicula arvensis Hustedt,Bacillariophyceae
NEONDREX8942004,"Eolimna subminuscula (Manguin) Moser, Lange-Bertalot et Metzeltin",Bacillariophyceae
NEONDREX510006,Scenedesmus acuminatus (Lagerheim) Chodat,Chlorophyceae
NEONDREX110016,Encyonema triangulum (Ehrenberg) Kützing,Bacillariophyceae
NEONDREX46084,Navicula tridentula Krasske,Bacillariophyceae
NEONDREX48123,Nitzschia pusilla Grunow,Bacillariophyceae
NEONDREX40038,Hantzschia sp.,Bacillariophyceae
NEONDREX48087,Nitzschia sigma (Kützing) Smith,Bacillariophyceae
MAYAMAEASP,Mayamaea sp.,Bacillariophyceae
NEONDREX1212004,Tribonema minus (Wille) Hazen,Tribophyceae
NEONDREX170135,Sellaphora nigri (De Notaris) Wetzel et Ector,Bacillariophyceae
NEONDREX847001,Geitlerinema splendidum (Greville) Anagnostidis,Myxophyceae
